,Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTerm
7971,2017,451965.0,9,1,1,1,1,333.0,3,42,41,72,0,3.0,Pennsylvania,PA,746.0,1.5,3.989807692307693,1587.8368505313788,264.63947508856313,4.9,360
7981,2017,451965.0,9,1,1,1,1,111.0,1,48,113,144,0,,Texas,TX,,1.1,3.989807692307693,529.2789501771263,44.106579181427186,4.3,360
7988,2017,451965.0,9,1,1,1,1,172.0,1,4,3,73,0,,Arizona,AZ,314.7,2.2,3.989807692307693,820.1439588330244,134.81818501364785,4.9,360
7993,2017,451965.0,9,1,1,1,1,28.0,1,34,21,54,0,,New Jersey,NJ,600.2,1.6,3.989807692307693,133.5118072518877,29.669290500419486,4.6,360
8017,2017,451965.0,9,1,1,1,1,145.0,1,42,103,62,0,,Pennsylvania,PA,746.0,1.5,3.989807692307693,691.4004304115614,133.81943814417318,4.9,360
8021,2017,451965.0,9,1,1,1,1,236.0,3,6,71,31,0,1.0,California,CA,,2.6,3.989807692307693,1125.3138039801963,435.605343476205,4.8,360
8029,2017,451965.0,9,1,1,1,1,96.0,1,25,23,35,0,,Massachusetts,MA,528.0,2.1,3.989807692307693,457.7547677207578,156.9444917899741,3.7,360
8040,2017,451965.0,9,1,1,1,1,449.0,1,13,135,331,0,,Georgia,GA,548.4,2.7,3.989807692307693,2140.957194860628,77.61778349947896,4.7,360
8046,2017,451965.0,9,1,1,1,1,101.0,3,41,51,34,0,1.0,Oregon,OR,236.8,2.9,3.989807692307693,481.59616187288066,169.97511595513433,4.1,360
8052,2017,451965.0,9,1,1,1,1,224.0,1,32,31,69,0,,Nevada,NV,153.7,2.3,3.989807692307693,1068.0944580151015,185.75555791566984,5.0,360
